x_p_j_mm	y_mm	pdin_volt	pdin_Pa	V_m/s	rho_kg/m^3	vrot_hz	
0.0	0.0	2.520	-0.000	0.007	1.172	32.7	
0.0	-1.0	1.647	431.226	27.132	1.172	32.7	
0.0	-2.0	1.558	475.334	28.486	1.172	32.7	
0.0	-3.0	1.552	477.843	28.561	1.172	32.7	
0.0	-4.0	1.554	477.071	28.538	1.172	32.7	
0.0	-5.0	1.549	479.484	28.610	1.172	32.7	
0.0	-6.0	1.547	480.449	28.639	1.172	32.7	
0.0	-7.0	1.554	476.974	28.535	1.172	32.7	
0.0	-8.0	1.552	478.036	28.567	1.172	32.7	
0.0	-9.0	1.551	478.422	28.578	1.172	32.7	
0.0	-10.0	1.550	478.905	28.593	1.172	32.7	
0.0	-11.0	1.555	476.781	28.529	1.172	32.7	
0.0	-12.0	1.553	477.360	28.547	1.172	32.7	
0.0	-13.0	1.545	481.607	28.673	1.172	32.7	
0.0	-14.0	1.562	473.307	28.425	1.172	32.7	
0.0	-15.0	2.351	83.871	11.966	1.172	32.7	
0.0	-16.0	2.528	-3.957	2.599	1.172	32.7	
x_p_j_mm	y_mm	pdin_volt	pdin_Pa	V_m/s	rho_kg/m^3	vrot_hz	
140.0	0.0	2.274	121.801	14.420	1.172	32.7	
140.0	-2.0	2.195	160.600	16.558	1.172	32.7	
140.0	-4.0	2.121	197.372	18.356	1.172	32.7	
140.0	-6.0	2.065	224.782	19.589	1.172	32.7	
140.0	-8.0	2.061	226.905	19.681	1.172	32.7	
140.0	-10.0	2.111	202.198	18.579	1.172	32.7	
140.0	-12.0	2.179	168.514	16.961	1.172	32.7	
140.0	-14.0	2.250	133.286	15.084	1.172	32.7	
140.0	-16.0	2.320	99.024	13.002	1.172	32.7	
140.0	-18.0	2.381	68.815	10.839	1.172	32.7	
140.0	-20.0	2.430	44.686	8.734	1.172	32.7	
140.0	-22.0	2.469	25.576	6.608	1.172	32.7	
140.0	-24.0	2.492	13.802	4.854	1.172	32.7	
140.0	-26.0	2.507	6.756	3.396	1.172	32.7	
140.0	-28.0	2.514	3.185	2.332	1.172	32.7	
140.0	-30.0	2.528	-3.957	2.599	1.172	32.7	
140.0	-32.0	2.531	-5.405	3.038	1.172	32.7	
140.0	-34.0	2.530	-4.536	2.783	1.172	32.7	
x_p_j_mm	y_mm	pdin_volt	pdin_Pa	V_m/s	rho_kg/m^3	vrot_hz	
280.0	0.0	2.414	52.407	9.459	1.172	32.7	
280.0	-2.0	2.419	50.187	9.256	1.172	32.7	
